service_name,country_code,availability_type,title_count,unique_titles
FILMO,FR,subscription,61,61
Filmo Amazon Channel,FR,subscription,56,56
Filmoteket,NO,free,32,32
Filmow,BR,ads,6,6
Filmpalast Amazon Channel,DE,subscription,1,1
Filmstriben,DK,free,50,50
Filmstriben,DK,subscription,1,1
Filmtastic,DE,subscription,100,100
Filmtastic Amazon Channel,DE,subscription,117,113
Filmtastic bei Canal+,AT,subscription,20,19
Filmzie,AU,ads,19,19
Filmzie,BR,ads,15,15
Filmzie,CA,ads,31,31
Filmzie,DE,ads,8,8
Filmzie,ES,ads,18,18
Filmzie,FR,ads,15,15
Filmzie,GB,ads,22,22
Filmzie,IT,ads,18,18
Filmzie,JP,ads,7,7
Filmzie,KR,ads,7,7
Filmzie,MX,ads,16,16
Filmzie,US,ads,21,21
Fix And Foxi Amazon Channel,DE,subscription,8,4
FlimmerkisteTV Amazon Channel,DE,subscription,43,28
FlixFling,CA,subscription,68,68
FlixFling,US,subscription,67,67
FlixHouse,US,free,23,23
FlixOlé,ES,subscription,119,119
FlixOlé Amazon Channel,ES,subscription,84,84
FOD Channel Amazon Channel,JP,subscription,514,339
Food Network,US,subscription,21,11
Food Network,US,ads,15,8
FOUND TV,AR,ads,1,1
FOUND TV,AT,ads,1,1
FOUND TV,AU,ads,1,1
FOUND TV,BE,ads,1,1
FOUND TV,BR,ads,2,2
FOUND TV,CA,ads,2,2
FOUND TV,CH,ads,1,1
FOUND TV,CL,ads,1,1
FOUND TV,CO,ads,1,1
FOUND TV,DE,ads,2,2
FOUND TV,DK,ads,1,1
FOUND TV,ES,ads,2,2
FOUND TV,FI,ads,1,1
FOUND TV,FR,ads,2,2
FOUND TV,GB,ads,1,1
FOUND TV,IE,ads,1,1
FOUND TV,IN,ads,1,1
FOUND TV,IT,ads,2,2
FOUND TV,JP,ads,2,2
FOUND TV,KR,ads,2,2
FOUND TV,MX,ads,2,2
FOUND TV,NL,ads,1,1
FOUND TV,NO,ads,1,1
FOUND TV,NZ,ads,1,1
FOUND TV,PH,ads,1,1
FOUND TV,PL,ads,1,1
